Name,A8_A7_0y1
Comment,ATLAS 8TeV angular coefficent A7
Reference,arXiv:1606.00689
Process type,DY
Number of points,23
Number of uncorr.errors,3
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Uncorr.Err.2,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8_A7_0y1.0,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,1.25,0.0,2.5,0.00417519,0.00293691,0.00163935,6.30508e-05,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.1,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,3.75,2.5,5.0,0.000671874,0.00133951,0.000744515,1.58405e-05,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.2,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,6.5,5.0,8.0,-0.000398778,0.00126525,0.000669966,3.50582e-05,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.3,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,9.7,8.0,11.4,-8.52064e-05,0.00123114,0.000679695,7.1238e-05,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.4,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,13.15,11.4,14.9,0.000740206,0.00119645,0.000650453,9.87354e-05,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.5,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,16.7,14.9,18.5,0.00150439,0.00131822,0.000694039,0.00010863,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.6,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,20.25,18.5,22.0,0.00186891,0.00151768,0.000778494,0.00010265,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.7,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,23.75,22.0,25.5,0.00169425,0.00165188,0.000842626,8.81156e-05,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.8,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,27.25,25.5,29.0,0.00124018,0.00172239,0.000870138,7.3902e-05,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.9,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,30.8,29.0,32.6,0.000312529,0.00180014,0.00089766,6.74263e-05,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.10,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,34.5,32.6,36.4,-0.000551212,0.00196085,0.000963992,7.26513e-05,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.11,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,38.4,36.4,40.4,-0.00118074,0.00218101,0.00108348,8.91105e-05,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.12,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,42.65,40.4,44.9,-0.0014705,0.00237518,0.0011863,0.000111955,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.13,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,47.55,44.9,50.2,-0.0012476,0.00248387,0.00124166,0.000133017,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.14,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,53.3,50.2,56.4,-0.00014604,0.00253547,0.00126367,0.0001429,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.15,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,60.15,56.4,63.9,0.00153656,0.00263967,0.00133606,0.000134082,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.16,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,68.65,63.9,73.4,0.0036558,0.00293582,0.00146785,0.000105045,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.17,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,79.4,73.4,85.4,0.00578108,0.00341211,0.00170381,6.54218e-05,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.18,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,95.2,85.4,105.0,0.00707013,0.00388594,0.00192737,4.21622e-05,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.19,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,118.5,105.0,132.0,0.00626938,0.00443385,0.00203482,8.67236e-05,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.20,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,152.5,132.0,173.0,0.00285741,0.00588401,0.00251892,0.000283278,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.21,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,213.0,173.0,253.0,-0.00620065,0.0100182,0.00412195,0.000757942,1.0,False,20.0,20.0,2.0,4.5
A8_A7_0y1.22,1 - 1 - 1 - 27,64000000.0,91.1876,80.0,100.0,0.5,0.0,1.0,426.5,253.0,600.0,-0.0220321,0.0183771,0.00705842,0.00168902,1.0,False,20.0,20.0,2.0,4.5
