Name,A13-norm
Comment,ATLAS 13TeV normalized to 1/sigma
Reference,arXiv:1912.02844
Process type,DY
Number of points,44
Number of uncorr.errors,1
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A13-norm.0,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,1.0,0.0,2.0,0.024189,4.4182176060000005e-05,3.549421293e-05,0.5,True,27.0,27.0,-2.5,2.5
A13-norm.1,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,3.0,2.0,4.0,0.0511438,3.99257654766e-05,2.78788945304e-05,0.5,True,27.0,27.0,-2.5,2.5
A13-norm.2,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,5.0,4.0,6.0,0.0532324,3.99232885844e-05,2.69403320836e-05,0.5,True,27.0,27.0,-2.5,2.5
A13-norm.3,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,7.0,6.0,8.0,0.0473835,3.8007584704500004e-05,2.1603653922e-05,0.5,True,27.0,27.0,-2.5,2.5
A13-norm.4,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,9.0,8.0,10.0,0.0405684,3.6609857233199994e-05,1.7372605932e-05,0.5,True,27.0,27.0,-2.5,2.5
A13-norm.5,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,11.0,10.0,12.0,0.0343165,3.6921465515e-05,2.0601670559499998e-05,0.5,True,27.0,27.0,-2.5,2.5
A13-norm.6,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,13.0,12.0,14.0,0.0291566,3.6262646552e-05,2.06200723388e-05,0.5,True,27.0,27.0,-2.5,2.5
A13-norm.7,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,15.0,14.0,16.0,0.0248037,3.3877389534e-05,1.51290912261e-05,0.5,True,27.0,27.0,-2.5,2.5
A13-norm.8,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,17.0,16.0,18.0,0.021268,3.091792964e-05,9.809163156e-06,0.5,True,27.0,27.0,-2.5,2.5
A13-norm.9,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,19.0,18.0,20.0,0.018325,2.8654069500000004e-05,6.34723025e-06,0.5,True,27.0,27.0,-2.5,2.5
A13-norm.10,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,21.25,20.0,22.5,0.0156045,2.1331351499999998e-05,4.02096756e-06,0.4,True,27.0,27.0,-2.5,2.5
A13-norm.11,1 / 1 / 1 / 3,169000000.0,91.0,66.0,116.0,0.0,-2.5,2.5,23.75,22.5,25.0,0.01318,2.0069054199999998e-05,4.47927572e-06,0.4,True,27.0,27.0,-2.5,2.5
