Name,CMS13-04y08-norm
Comment,CMS 13TeV 0.4<|y|<0.8 normalized
Reference,arXiv:1909.04133
Process type,DY
Number of points,33
Number of uncorr.errors,1
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CMS13-04y08-norm.0,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,1.5,1.0,2.0,0.0503,0.001269,5.0299999999999994e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.1,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,2.5,2.0,3.0,0.066491,0.0015068,6.6491e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.2,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,3.5,3.0,4.0,0.074829,0.0014972,7.4829e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.3,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,4.5,4.0,5.0,0.077429,0.0013888,7.7429e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.4,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,5.5,5.0,6.0,0.074366,0.0012155,7.436599999999999e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.5,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,6.5,6.0,7.0,0.069356,0.0010542,6.9356e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.6,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,7.5,7.0,8.0,0.065302,0.00094094,6.5302e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.7,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,8.5,8.0,9.0,0.060643,0.00085292,6.0643e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.8,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,9.5,9.0,10.0,0.055681,0.00078492,5.5681e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.9,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,10.5,10.0,11.0,0.050822,0.00071262,5.0822e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.10,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,11.5,11.0,12.0,0.046565,0.00062763,4.6565e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.11,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,12.5,12.0,13.0,0.044274,0.00056482,4.4273999999999997e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.12,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,13.5,13.0,14.0,0.041084,0.00051248,4.1084e-08,2.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.13,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,15.0,14.0,16.0,0.035292,0.00043994,3.5291999999999996e-08,1.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.14,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,17.0,16.0,18.0,0.030923,0.00038177,3.0923e-08,1.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.15,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,19.0,18.0,20.0,0.026452,0.00031816,2.6451999999999998e-08,1.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.16,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,21.0,20.0,22.0,0.022521,0.00026195,2.2520999999999997e-08,1.0,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.17,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,23.5,22.0,25.0,0.019566,0.00022155,1.9565999999999998e-08,0.6666666666666666,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.18,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,26.5,25.0,28.0,0.016033,0.00017883,1.6033e-08,0.6666666666666666,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.19,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,30.0,28.0,32.0,0.013186,0.00014545,1.3186e-08,0.5,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.20,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,34.5,32.0,37.0,0.010077,0.00010906,1.0076999999999998e-08,0.4,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.21,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,40.0,37.0,43.0,0.00753,7.9379e-05,7.53e-09,0.3333333333333333,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.22,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,47.5,43.0,52.0,0.0053022,5.5931e-05,5.302199999999999e-09,0.2222222222222222,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.23,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,58.5,52.0,65.0,0.0031955,3.5347e-05,3.1955e-09,0.15384615384615385,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.24,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,75.0,65.0,85.0,0.0016626,1.9581e-05,1.6625999999999998e-09,0.1,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.25,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,102.5,85.0,120.0,0.00071142,9.1503e-06,7.1142e-10,0.05714285714285714,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.26,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,140.0,120.0,160.0,0.00026046,3.9073e-06,2.6046e-10,0.05,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.27,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,175.0,160.0,190.0,0.00011221,2.0401e-06,1.1220999999999999e-10,0.06666666666666667,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.28,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,205.0,190.0,220.0,6.1184e-05,1.3411e-06,6.1184e-11,0.06666666666666667,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.29,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,235.0,220.0,250.0,3.4911e-05,8.8138e-07,3.4910999999999995e-11,0.06666666666666667,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.30,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,275.0,250.0,300.0,1.773e-05,4.9473e-07,1.773e-11,0.04,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.31,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,350.0,300.0,400.0,6.2854e-06,2.0407e-07,6.2854e-12,0.02,True,25.0,25.0,-2.4,2.4
CMS13-04y08-norm.32,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,0.6000000000000001,0.4,0.8,950.0,400.0,1500.0,2.4946e-07,1.0027e-08,2.4946e-13,0.0018181818181818182,True,25.0,25.0,-2.4,2.4
