Name,CMS13-12y16
Comment,CMS 13TeV 1.2<|y|<1.6 absolute
Reference,arXiv:1909.04133
Process type,DY
Number of points,33
Number of uncorr.errors,1
Number of corr.errors,1
Number of norm.errors,1
List of norm.errors (relative),0.025
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CMS13-12y16.0,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,1.5,1.0,2.0,4.7387,0.14221026525448155,0.0047387,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.1,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,2.5,2.0,3.0,6.1954,0.175164006505332,0.0061954,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.2,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,3.5,3.0,4.0,7.0506,0.18776980954083114,0.007050600000000001,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.3,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,4.5,4.0,5.0,7.2887,0.18422800301189282,0.0072887,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.4,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,5.5,5.0,6.0,7.1054,0.17172475556832217,0.0071054,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.5,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,6.5,6.0,7.0,6.6879,0.15471857029377567,0.0066879,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.6,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,7.5,7.0,8.0,6.199,0.1374399104154248,0.006199,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.7,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,8.5,8.0,9.0,5.7522,0.12139027174778048,0.005752200000000001,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.8,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,9.5,9.0,10.0,5.3334,0.10767024739917708,0.0053334,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.9,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,10.5,10.0,11.0,4.908,0.09677304841741834,0.004908,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.10,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,11.5,11.0,12.0,4.5071,0.08666258416265925,0.0045071,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.11,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,12.5,12.0,13.0,4.169,0.07786629164792683,0.004169,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.12,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,13.5,13.0,14.0,3.8582,0.07068103971363182,0.0038582,2.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.13,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,15.0,14.0,16.0,3.4559,0.06134324407585563,0.0034559000000000005,1.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.14,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,17.0,16.0,18.0,2.8871,0.04910726926586327,0.0028871,1.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.15,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,19.0,18.0,20.0,2.5962,0.04275206866339919,0.0025962000000000003,1.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.16,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,21.0,20.0,22.0,2.1938,0.035199780340223724,0.0021938,1.0,True,25.0,25.0,-2.4,2.4
CMS13-12y16.17,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,23.5,22.0,25.0,1.8853,0.029572953990935697,0.0018853,0.6666666666666666,True,25.0,25.0,-2.4,2.4
CMS13-12y16.18,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,26.5,25.0,28.0,1.5088,0.02368383670354109,0.0015088,0.6666666666666666,True,25.0,25.0,-2.4,2.4
CMS13-12y16.19,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,30.0,28.0,32.0,1.2433,0.020022010956694626,0.0012433000000000001,0.5,True,25.0,25.0,-2.4,2.4
CMS13-12y16.20,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,34.5,32.0,37.0,0.97817,0.015595565810110897,0.00097817,0.4,True,25.0,25.0,-2.4,2.4
CMS13-12y16.21,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,40.0,37.0,43.0,0.71645,0.010766314477921401,0.0007164500000000001,0.3333333333333333,True,25.0,25.0,-2.4,2.4
CMS13-12y16.22,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,47.5,43.0,52.0,0.50125,0.007352524358171143,0.00050125,0.2222222222222222,True,25.0,25.0,-2.4,2.4
CMS13-12y16.23,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,58.5,52.0,65.0,0.29184,0.004424597138723479,0.00029183999999999997,0.15384615384615385,True,25.0,25.0,-2.4,2.4
CMS13-12y16.24,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,75.0,65.0,85.0,0.15184,0.002482896052999399,0.00015184,0.1,True,25.0,25.0,-2.4,2.4
CMS13-12y16.25,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,102.5,85.0,120.0,0.066671,0.0012198980897497138,6.6671e-05,0.05714285714285714,True,25.0,25.0,-2.4,2.4
CMS13-12y16.26,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,140.0,120.0,160.0,0.024884,0.0005405537249894778,2.4884e-05,0.05,True,25.0,25.0,-2.4,2.4
CMS13-12y16.27,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,175.0,160.0,190.0,0.010576,0.0002758635389100923,1.0576e-05,0.06666666666666667,True,25.0,25.0,-2.4,2.4
CMS13-12y16.28,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,205.0,190.0,220.0,0.0059473,0.00018030308980644227,5.9473e-06,0.06666666666666667,True,25.0,25.0,-2.4,2.4
CMS13-12y16.29,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,235.0,220.0,250.0,0.0032554,0.00011332392587181226,3.2553999999999998e-06,0.06666666666666667,True,25.0,25.0,-2.4,2.4
CMS13-12y16.30,1 / 1 / 1 / 3,169000000.0,91.1876,76.1876,106.1876,1.4,1.2,1.6,275.0,250.0,300.0,0.0016225,6.310018829409306e-05,1.6225000000000001e-06,0.04,True,25.0,25.0,-2.4,2.4
