Name,CMS13_dQ_106to170
Comment,CMS 13TeV 2021 preliminary
Reference,CMS-PAS-SMP-20-003
Process type,DY
Number of points,16
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.012
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CMS13_dQ_106to170.0,1 - 1 - 5,169000000.0,138.0,106.0,170.0,0.0,-2.4,2.4,1.0,0.0,2.0,0.3316,0.0057146909207760315,0.5,True,25.0,20.0,-2.4,2.4
CMS13_dQ_106to170.1,1 - 1 - 5,169000000.0,138.0,106.0,170.0,0.0,-2.4,2.4,3.0,2.0,4.0,0.743,0.010945073457953583,0.5,True,25.0,20.0,-2.4,2.4
CMS13_dQ_106to170.2,1 - 1 - 5,169000000.0,138.0,106.0,170.0,0.0,-2.4,2.4,5.0,4.0,6.0,0.811,0.01194677600861421,0.5,True,25.0,20.0,-2.4,2.4
CMS13_dQ_106to170.3,1 - 1 - 5,169000000.0,138.0,106.0,170.0,0.0,-2.4,2.4,7.0,6.0,8.0,0.755,0.011121844496305457,0.5,True,25.0,20.0,-2.4,2.4
CMS13_dQ_106to170.4,1 - 1 - 5,169000000.0,138.0,106.0,170.0,0.0,-2.4,2.4,9.0,8.0,10.0,0.674,0.009928639987430304,0.5,True,25.0,20.0,-2.4,2.4
CMS13_dQ_106to170.5,1 - 1 - 5,169000000.0,138.0,106.0,170.0,0.0,-2.4,2.4,11.0,10.0,12.0,0.591,0.009456,0.5,True,25.0,20.0,-2.4,2.4
CMS13_dQ_106to170.6,1 - 1 - 5,169000000.0,138.0,106.0,170.0,0.0,-2.4,2.4,13.0,12.0,14.0,0.521,0.008336000000000001,0.5,True,25.0,20.0,-2.4,2.4
CMS13_dQ_106to170.7,1 - 1 - 5,169000000.0,138.0,106.0,170.0,0.0,-2.4,2.4,16.0,14.0,18.0,0.423,0.006768000000000001,0.25,True,25.0,20.0,-2.4,2.4
CMS13_dQ_106to170.8,1 - 1 - 5,169000000.0,138.0,106.0,170.0,0.0,-2.4,2.4,20.0,18.0,22.0,0.3297,0.005681946913690764,0.25,True,25.0,20.0,-2.4,2.4
CMS13_dQ_106to170.9,1 - 1 - 5,169000000.0,138.0,106.0,170.0,0.0,-2.4,2.4,25.0,22.0,28.0,0.2494,0.004298081772139754,0.16666666666666666,True,25.0,20.0,-2.4,2.4
CMS13_dQ_106to170.10,1 - 1 - 5,169000000.0,138.0,106.0,170.0,0.0,-2.4,2.4,32.5,28.0,37.0,0.1733,0.003195494108897715,0.1111111111111111,True,25.0,20.0,-2.4,2.4
CMS13_dQ_106to170.11,1 - 1 - 5,169000000.0,138.0,106.0,170.0,0.0,-2.4,2.4,44.5,37.0,52.0,0.1027,0.0020151195125847994,0.06666666666666667,True,25.0,20.0,-2.4,2.4
CMS13_dQ_106to170.12,1 - 1 - 5,169000000.0,138.0,106.0,170.0,0.0,-2.4,2.4,68.5,52.0,85.0,0.0462,0.0010656087837475816,0.030303030303030304,True,25.0,20.0,-2.4,2.4
CMS13_dQ_106to170.13,1 - 1 - 5,169000000.0,138.0,106.0,170.0,0.0,-2.4,2.4,122.5,85.0,160.0,0.01116,0.00030684926853424306,0.013333333333333334,True,25.0,20.0,-2.4,2.4
CMS13_dQ_106to170.14,1 - 1 - 5,169000000.0,138.0,106.0,170.0,0.0,-2.4,2.4,205.0,160.0,250.0,0.0018,5.1449781340643236e-05,0.011111111111111112,True,25.0,20.0,-2.4,2.4
CMS13_dQ_106to170.15,1 - 1 - 5,169000000.0,138.0,106.0,170.0,0.0,-2.4,2.4,625.0,250.0,1000.0,6.01e-05,2.3561959532263014e-06,0.0013333333333333333,True,25.0,20.0,-2.4,2.4
