Name,LHCb13(2021)
Comment,LHCb 13TeV 2021 update
Reference,arXiv:2112.07458
Process type,DY
Number of points,14
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.02
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
LHCb13(2021).0,1 / 1 / 1 / 3,169000000.0,91.1876,60.0,120.0,3.25,2.0,4.5,1.1,0.0,2.2,6.08,0.03,0.23,0.45454545454545453,True,20.0,20.0,2.0,4.5
LHCb13(2021).1,1 / 1 / 1 / 3,169000000.0,91.1876,60.0,120.0,3.25,2.0,4.5,2.8,2.2,3.4,11.4,0.05,0.24,0.8333333333333335,True,20.0,20.0,2.0,4.5
LHCb13(2021).2,1 / 1 / 1 / 3,169000000.0,91.1876,60.0,120.0,3.25,2.0,4.5,4.0,3.4,4.6,11.48,0.05,0.16,0.8333333333333335,True,20.0,20.0,2.0,4.5
LHCb13(2021).3,1 / 1 / 1 / 3,169000000.0,91.1876,60.0,120.0,3.25,2.0,4.5,5.199999999999999,4.6,5.8,11.06,0.05,0.12,0.8333333333333333,True,20.0,20.0,2.0,4.5
LHCb13(2021).4,1 / 1 / 1 / 3,169000000.0,91.1876,60.0,120.0,3.25,2.0,4.5,6.5,5.8,7.2,9.84,0.04,0.1,0.7142857142857141,True,20.0,20.0,2.0,4.5
LHCb13(2021).5,1 / 1 / 1 / 3,169000000.0,91.1876,60.0,120.0,3.25,2.0,4.5,7.949999999999999,7.2,8.7,8.61,0.04,0.14,0.6666666666666671,True,20.0,20.0,2.0,4.5
LHCb13(2021).6,1 / 1 / 1 / 3,169000000.0,91.1876,60.0,120.0,3.25,2.0,4.5,9.6,8.7,10.5,7.63,0.03,0.1,0.5555555555555554,True,20.0,20.0,2.0,4.5
LHCb13(2021).7,1 / 1 / 1 / 3,169000000.0,91.1876,60.0,120.0,3.25,2.0,4.5,11.65,10.5,12.8,6.39,0.03,0.07,0.43478260869565205,True,20.0,20.0,2.0,4.5
LHCb13(2021).8,1 / 1 / 1 / 3,169000000.0,91.1876,60.0,120.0,3.25,2.0,4.5,14.100000000000001,12.8,15.4,5.06,0.02,0.06,0.3846153846153847,True,20.0,20.0,2.0,4.5
LHCb13(2021).9,1 / 1 / 1 / 3,169000000.0,91.1876,60.0,120.0,3.25,2.0,4.5,17.2,15.4,19.0,3.97,0.02,0.05,0.2777777777777778,True,20.0,20.0,2.0,4.5
LHCb13(2021).10,1 / 1 / 1 / 3,169000000.0,91.1876,60.0,120.0,3.25,2.0,4.5,21.75,19.0,24.5,2.84,0.01,0.04,0.18181818181818182,True,20.0,20.0,2.0,4.5
LHCb13(2021).11,1 / 1 / 1 / 3,169000000.0,91.1876,60.0,120.0,3.25,2.0,4.5,29.25,24.5,34.0,1.749,0.007,0.016,0.10526315789473684,True,20.0,20.0,2.0,4.5
LHCb13(2021).12,1 / 1 / 1 / 3,169000000.0,91.1876,60.0,120.0,3.25,2.0,4.5,48.5,34.0,63.0,0.668,0.002,0.006,0.034482758620689655,True,20.0,20.0,2.0,4.5
LHCb13(2021).13,1 / 1 / 1 / 3,169000000.0,91.1876,60.0,120.0,3.25,2.0,4.5,166.5,63.0,270.0,0.0358,0.0002,0.0004,0.004830917874396135,True,20.0,20.0,2.0,4.5
