Name,compass.d.h-
Comment,COMPASS isoscalar h-. thFactor contains DIS normalization (by MSHT20nnlo)
Reference,1709.07374
Process type,SIDIS
Number of points,2332
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass.d.h-.0,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.29953523924572845,0.282842712474619,0.31622776601683794,4.9485,0.266,0.49732425,0.06647624772048019,0.35296861126734197,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.1,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.3313189637653067,0.31622776601683794,0.34641016151377546,4.4538,0.2661,0.4631952,0.05983063799080017,0.3529686112673422,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.2,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.3602879500955848,0.34641016151377546,0.37416573867739417,4.205,0.2496,0.4352175,0.05648835438306945,0.3529686112673417,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.3,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.3932381506195801,0.37416573867739417,0.41231056256176607,3.6758,0.1926,0.37971014000000003,0.04937928490874832,0.23531240751156135,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.4,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.429762079030862,0.41231056256176607,0.4472135954999579,3.1909,0.1831,0.33855449,0.042865324613777955,0.23531240751156154,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.5,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.46339837391561495,0.4472135954999579,0.47958315233127197,2.9603,0.161,0.31912034000000006,0.03976753281336516,0.23531240751156113,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.6,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.4995991973009676,0.47958315233127197,0.5196152422706632,2.5549,0.1374,0.27516273,0.03432154497343737,0.1764843056336707,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.7,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.5336688998879147,0.5196152422706632,0.5477225575051661,2.4182,0.155,0.27519116,0.03248516969539561,0.23531240751156246,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.8,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.5696652679075638,0.5477225575051661,0.5916079783099616,1.9603,0.1086,0.22229801999999999,0.026333917026666123,0.14118744450693665,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.9,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.6120317551718187,0.5916079783099616,0.6324555320336759,1.5636,0.0996,0.18356664000000003,0.021004801644082617,0.14118744450693665,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.10,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.6553442651731014,0.6324555320336759,0.6782329983125268,1.2332,0.0799,0.14835396,0.016566334988157252,0.11765620375578068,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.11,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.6996716267026624,0.6782329983125268,0.7211102550927979,1.0852,0.076,0.13825448,0.014578159851725794,0.11765620375578045,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.12,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.7478534621671407,0.7211102550927979,0.7745966692414834,0.8126,0.057,0.10458162,0.010916156188271638,0.08824215281683555,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.13,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.7996088971825077,0.7745966692414834,0.8246211251235321,0.5453,0.0441,0.07416080000000001,0.007325350688486985,0.08824215281683555,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.14,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.8482004569158335,0.8246211251235321,0.8717797887081347,0.3332,0.0325,0.047847520000000004,0.004476080780128119,0.08824215281683566,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.15,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.902258847008508,0.8717797887081347,0.9327379053088815,0.3636,0.0319,0.052794719999999996,0.0048844627000437695,0.06417611113951673,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.16,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,0.9663689526544408,0.9327379053088815,1.0,0.2169,0.0224,0.03385809,0.002913751264135021,0.054302863271898726,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.17,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.029150262212918,1.0,1.0583005244258363,0.1832,0.021,0.030411200000000003,0.0024610384121232635,0.05882810187789028,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.18,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.0859266984959204,1.0583005244258363,1.1135528725660044,0.1341,0.0191,0.02437938,0.0018014478769963409,0.05882810187789028,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.19,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.1441434425065387,1.1135528725660044,1.174734012447073,0.0749,0.0127,0.01489012,0.0010061778224237578,0.050424087323906026,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.20,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.2038084065204342,1.174734012447073,1.2328828005937953,0.0566,0.01,0.011784119999999999,0.0007603426535271654,0.050424087323906026,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.21,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.2645154701376837,1.2328828005937953,1.296148139681572,0.0383,0.0096,0.00952138,0.0005145074846305732,0.04412107640841783,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.22,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.328147595277558,1.296148139681572,1.3601470508735443,0.0431,0.0086,0.01001213,0.0005789888404067285,0.04152571897262843,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.23,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.3959645786005899,1.3601470508735443,1.4317821063276353,0.0169,0.0042,0.00441428,0.0002270281067952137,0.035296861126734205,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.24,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.4823765390016121,1.4317821063276353,1.5329709716755893,0.0151,0.0036,0.00408153,0.00020284759837915547,0.023531240751156115,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.25,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.58042651564278,1.5329709716755893,1.6278820596099706,0.0098,0.0027,0.0029498,0.00013164943470965056,0.023531240751156143,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.26,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.155,0.1,0.21,0.25,0.2,0.3,1.6799664335894238,1.6278820596099706,1.7320508075688772,0.008,0.0022,0.0025104000000000003,0.0001074689262935923,0.02016963492956242,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.27,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.29953523924572845,0.282842712474619,0.31622776601683794,4.6873,0.2184,0.46919872999999995,0.06310528872000438,0.3793572183886283,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.28,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.3313189637653067,0.31622776601683794,0.34641016151377546,4.7136,0.2237,0.46711775999999994,0.06345936656723758,0.37935721838862857,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.29,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.3602879500955848,0.34641016151377546,0.37416573867739417,4.1066,0.209,0.4188732,0.0552873037052397,0.379357218388628,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.30,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.3932381506195801,0.37416573867739417,0.41231056256176607,3.6277,0.1591,0.36422108000000003,0.048839855756951746,0.25290481225908557,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.31,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.429762079030862,0.41231056256176607,0.4472135954999579,3.1327,0.1565,0.32360791,0.042175652928798615,0.2529048122590858,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.32,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,0.46339837391561495,0.4472135954999579,0.47958315233127197,2.9744,0.1349,0.31201456,0.04004445432739127,0.25290481225908534,True,0.1,0.9,25.0,10000.0,0.938,0.139
