Name,hermes.d.no-vmsub.zxpt.k-
Comment,HERMES deutron-to-k- (zxpt-3D) no-vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
Reference,1212.5407
Process type,SIDIS
Number of points,326
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.d.no-vmsub.zxpt.k-.0,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1489809,0.1,0.2,0.1041925,0.0,0.15,0.3026419,0.01757882,0.01391647,0.009122698145455986,0.008126687124525531,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.1,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.150414,0.1,0.2,0.2112027,0.15,0.25,0.6206529,0.02200067,0.03084004,0.018708675367825403,0.012190030686788296,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.2,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1496407,0.1,0.2,0.3165891,0.25,0.35,0.7112633,0.02114547,0.03513904,0.021439993562824267,0.012190030686788297,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.3,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1480272,0.1,0.2,0.4154507,0.35,0.45,0.618099,0.02248948,0.02952971,0.018631691781634332,0.01219003068678829,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.4,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1542267,0.1,0.2,0.5577426,0.45,0.6,0.390477,0.01902238,0.01649467,0.011770358974561081,0.008126687124525531,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.5,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1599041,0.1,0.2,0.7505442,0.6,0.8,0.2185481,0.0217606,0.006861583,0.006587813341652062,0.006095015343394145,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.6,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.1418699,0.1,0.2,0.8875685,0.8,1.2,0.01005981,0.01863016,0.001304146,0.0003032382827052024,0.0030475076716970743,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.7,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2236557,0.2,0.25,0.09881244,0.0,0.15,0.1805082,0.01753821,0.006184597,0.005441156103565297,0.016253374249051065,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.8,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2282167,0.2,0.25,0.2088893,0.15,0.25,0.3760297,0.02438609,0.01068195,0.011334866212597697,0.024380061373576598,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.9,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2300192,0.2,0.25,0.30961,0.25,0.35,0.4243787,0.02241046,0.009958853,0.01279227621641624,0.0243800613735766,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.d.no-vmsub.zxpt.k-.10,1 / 1 / -2 / 2002,52.657444,1.1181542827356161,1.0,4.47213595499958,0.03752505,0.023,0.047,0.2284472,0.2,0.25,0.4082691,0.35,0.45,0.2983537,0.01750519,0.006197411,0.008993436618260497,0.024380061373576588,True,0.1,0.85,10.0,10000.0,0.938,0.494
