Name,hermes.p.no-vmsub.zxpt.pi+
Comment,HERMES proton-to-pi+ (zxpt-3D) no-vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
Reference,1212.5407
Process type,SIDIS
Number of points,336
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.no-vmsub.zxpt.pi+.0,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1522018,0.1,0.2,0.1105712,0.0,0.15,4.212991,0.05504497,0.3325804,0.11342461117237407,0.007760037288810543,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.1,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.154622,0.1,0.2,0.2217933,0.15,0.25,8.554177,0.0697677,0.2981171,0.2303005632161724,0.011640055933215813,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.2,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1560952,0.1,0.2,0.327693,0.25,0.35,9.295616,0.06783426,0.5397898,0.2502620182211876,0.011640055933215815,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.3,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.159801,0.1,0.2,0.4409912,0.35,0.45,7.393123,0.06698853,0.5195182,0.19904198742046583,0.011640055933215808,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.4,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1624893,0.1,0.2,0.5817642,0.45,0.6,4.44946,0.05525705,0.2818075,0.11979096808586384,0.007760037288810543,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.5,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1678483,0.1,0.2,0.792604,0.6,0.8,1.674367,0.05499484,0.08948967,0.04507828901957172,0.005820027966607904,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.6,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1928145,0.1,0.2,1.188888,0.8,1.2,0.2125564,0.05348706,0.01152146,0.00572256789112524,0.002910013983303954,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.7,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2295056,0.2,0.25,0.1030673,0.0,0.15,2.188401,0.05565527,0.04405666,0.05891741342771314,0.015520074577621088,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.8,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2340181,0.2,0.25,0.2126745,0.15,0.25,4.085732,0.07488524,0.2153029,0.10999846984114761,0.023280111866431634,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.9,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2356541,0.2,0.25,0.3168787,0.25,0.35,5.037922,0.07405649,0.1549192,0.13563388670109885,0.023280111866431637,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.10,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2376523,0.2,0.25,0.4233895,0.35,0.45,4.599819,0.06338035,0.06941652,0.12383902114633015,0.023280111866431624,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.11,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.241739,0.2,0.25,0.559272,0.45,0.6,3.047276,0.0419019,0.05862214,0.0820405492048066,0.015520074577621092,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi+.12,1 / 1 / 1 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2479694,0.2,0.25,0.7537638,0.6,0.8,1.228491,0.02706983,0.05321451,0.03307415420630165,0.011640055933215812,True,0.1,0.85,10.0,10000.0,0.938,0.139
