Name,CMS8-W-electron
Comment,CMS 8TeV normalized, W-boson production to electron
Reference,arXiv:1606.05864
Process type,DY
Number of points,13
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,True
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CMS8-W-electron.0,1 - 1 - 9,64000000.0,80.0,20.0,300.0,0.0,-2.5,2.5,3.75,0.0,7.5,0.0473821,0.000564642,0.13333333333333333,True,25.0,0.0,-2.5,2.5
CMS8-W-electron.1,1 - 1 - 9,64000000.0,80.0,20.0,300.0,0.0,-2.5,2.5,10.0,7.5,12.5,0.0411806,0.000732773,0.2,True,25.0,0.0,-2.5,2.5
CMS8-W-electron.2,1 - 1 - 9,64000000.0,80.0,20.0,300.0,0.0,-2.5,2.5,15.0,12.5,17.5,0.0242413,0.000383391,0.2,True,25.0,0.0,-2.5,2.5
CMS8-W-electron.3,1 - 1 - 9,64000000.0,80.0,20.0,300.0,0.0,-2.5,2.5,20.75,17.5,24.0,0.014866,0.000203276,0.15384615384615385,True,25.0,0.0,-2.5,2.5
CMS8-W-electron.4,1 - 1 - 9,64000000.0,80.0,20.0,300.0,0.0,-2.5,2.5,27.0,24.0,30.0,0.00964165,0.000172835,0.16666666666666666,True,25.0,0.0,-2.5,2.5
CMS8-W-electron.5,1 - 1 - 9,64000000.0,80.0,20.0,300.0,0.0,-2.5,2.5,35.0,30.0,40.0,0.00606928,0.000122627,0.1,True,25.0,0.0,-2.5,2.5
CMS8-W-electron.6,1 - 1 - 9,64000000.0,80.0,20.0,300.0,0.0,-2.5,2.5,45.0,40.0,50.0,0.00350695,7.81664e-05,0.1,True,25.0,0.0,-2.5,2.5
CMS8-W-electron.7,1 - 1 - 9,64000000.0,80.0,20.0,300.0,0.0,-2.5,2.5,60.0,50.0,70.0,0.00178498,5.10898e-05,0.05,True,25.0,0.0,-2.5,2.5
CMS8-W-electron.8,1 - 1 - 9,64000000.0,80.0,20.0,300.0,0.0,-2.5,2.5,90.0,70.0,110.0,0.000566303,2.0345e-05,0.025,True,25.0,0.0,-2.5,2.5
CMS8-W-electron.9,1 - 1 - 9,64000000.0,80.0,20.0,300.0,0.0,-2.5,2.5,130.0,110.0,150.0,0.000145094,7.94371e-06,0.025,True,25.0,0.0,-2.5,2.5
CMS8-W-electron.10,1 - 1 - 9,64000000.0,80.0,20.0,300.0,0.0,-2.5,2.5,170.0,150.0,190.0,4.53981e-05,4.22551e-06,0.025,True,25.0,0.0,-2.5,2.5
CMS8-W-electron.11,1 - 1 - 9,64000000.0,80.0,20.0,300.0,0.0,-2.5,2.5,220.0,190.0,250.0,1.4975e-05,1.7633e-06,0.016666666666666666,True,25.0,0.0,-2.5,2.5
CMS8-W-electron.12,1 - 1 - 9,64000000.0,80.0,20.0,300.0,0.0,-2.5,2.5,425.0,250.0,600.0,1.1827e-06,2.21237e-07,0.002857142857142857,True,25.0,0.0,-2.5,2.5
