Name,compass16.ALT.h+.2<z.dz
Comment,COMPASS16 DSSA-A.LT  h+ from p, (0.2<z<1) (differential in z)
Reference,1609.07374
Process type,SIDIS
Number of points,20
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass16.ALT.h+.2<z.dz.0,1 / 1 / 1 / 13101,1 / 1 / 1 / 2101,301.03984399999996,1.396424004376894,1.0,2.0,0.028,0.0037017294479981047,0.13326226012793177,0.22,0.2,0.25,0.46,0.1,10.0,-0.013,0.014,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dz.1,1 / 1 / 1 / 13101,1 / 1 / 1 / 2101,301.03984399999996,1.396424004376894,1.0,2.0,0.029,0.0037017294479981047,0.13326226012793177,0.27,0.25,0.3,0.48,0.1,10.0,0.011,0.016,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dz.2,1 / 1 / 1 / 13101,1 / 1 / 1 / 2101,301.03984399999996,1.4,1.0,2.0,0.03,0.0037017294479981047,0.13326226012793177,0.35,0.3,0.4,0.51,0.1,10.0,0.001,0.015,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dz.3,1 / 1 / 1 / 13101,1 / 1 / 1 / 2101,301.03984399999996,1.396424004376894,1.0,2.0,0.03,0.0037017294479981047,0.13326226012793177,0.48,0.4,0.6,0.55,0.1,10.0,0.004,0.016,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dz.4,1 / 1 / 1 / 13101,1 / 1 / 1 / 2101,301.03984399999996,1.378404875209022,1.0,2.0,0.03,0.0037017294479981047,0.13326226012793177,0.74,0.6,1.0,0.55,0.1,10.0,-0.017,0.023,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dz.5,1 / 1 / 1 / 13101,1 / 1 / 1 / 2101,301.03984399999996,2.2293496809607953,2.0,2.5,0.072,0.014806917791992419,0.2082222814498934,0.22,0.2,0.25,0.45,0.1,10.0,0.041,0.035,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dz.6,1 / 1 / 1 / 13101,1 / 1 / 1 / 2101,301.03984399999996,2.2293496809607953,2.0,2.5,0.073,0.014806917791992419,0.2082222814498934,0.27,0.25,0.3,0.48,0.1,10.0,0.041,0.042,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dz.7,1 / 1 / 1 / 13101,1 / 1 / 1 / 2101,301.03984399999996,2.2293496809607953,2.0,2.5,0.075,0.014806917791992419,0.2082222814498934,0.35,0.3,0.4,0.51,0.1,10.0,0.043,0.038,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dz.8,1 / 1 / 1 / 13101,1 / 1 / 1 / 2101,301.03984399999996,2.2293496809607953,2.0,2.5,0.077,0.014806917791992419,0.2082222814498934,0.48,0.4,0.6,0.57,0.1,10.0,0.09,0.041,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dz.9,1 / 1 / 1 / 13101,1 / 1 / 1 / 2101,301.03984399999996,2.2293496809607953,2.0,2.5,0.079,0.014806917791992419,0.2082222814498934,0.73,0.6,1.0,0.62,0.1,10.0,-0.014,0.063,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
