Name,compass16.ALT.h-.1<z.dpt
Comment,COMPASS16 DSSA-A.LT  h- from p, (0.1<z<1) (differential in pt)
Reference,1609.07374
Process type,SIDIS
Number of points,20
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass16.ALT.h-.1<z.dpt.0,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,1.3892443989449805,1.0,2.0,0.028,0.0037017294479981047,0.13326226012793177,0.23,0.1,1.0,0.21,0.1,0.3,0.01,0.01,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.1,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,1.3892443989449805,1.0,2.0,0.027,0.0037017294479981047,0.13326226012793177,0.24,0.1,1.0,0.39,0.3,0.5,0.0,0.009,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.2,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,1.3928388277184118,1.0,2.0,0.026,0.0037017294479981047,0.13326226012793177,0.27,0.1,1.0,0.61,0.5,0.75,-0.001,0.011,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.3,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,1.3928388277184118,1.0,2.0,0.024,0.0037017294479981047,0.13326226012793177,0.3,0.1,1.0,0.85,0.75,1.0,0.01,0.017,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.4,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,1.4,1.0,2.0,0.021,0.0037017294479981047,0.13326226012793177,0.34,0.1,1.0,1.25,1.0,10.0,-0.044,0.022,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.5,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.073,0.014806917791992419,0.2082222814498934,0.21,0.1,1.0,0.21,0.1,0.3,-0.023,0.026,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.6,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.069,0.014806917791992419,0.2082222814498934,0.23,0.1,1.0,0.39,0.3,0.5,-0.0,0.024,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.7,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.065,0.014806917791992419,0.2082222814498934,0.26,0.1,1.0,0.61,0.5,0.75,0.011,0.029,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.8,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.06,0.014806917791992419,0.2082222814498934,0.3,0.1,1.0,0.85,0.75,1.0,-0.001,0.045,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.9,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,2.227105745132009,2.0,2.5,0.052,0.014806917791992419,0.2082222814498934,0.34,0.1,1.0,1.25,1.0,10.0,0.002,0.057,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.10,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,3.0512292604784714,2.5,4.0,0.128,0.023135809049988153,0.5330490405117271,0.21,0.1,1.0,0.21,0.1,0.3,0.011,0.026,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.11,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,3.0528675044947495,2.5,4.0,0.122,0.023135809049988153,0.5330490405117271,0.22,0.1,1.0,0.39,0.3,0.5,0.029,0.024,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.12,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,3.059411708155671,2.5,4.0,0.115,0.023135809049988153,0.5330490405117271,0.26,0.1,1.0,0.61,0.5,0.75,-0.002,0.028,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.13,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,3.0659419433511785,2.5,4.0,0.106,0.023135809049988153,0.5330490405117271,0.3,0.1,1.0,0.85,0.75,1.0,0.022,0.044,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.14,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,3.0757112998459397,2.5,4.0,0.093,0.023135809049988153,0.5330490405117271,0.35,0.1,1.0,1.26,1.0,10.0,-0.053,0.055,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.15,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,5.065570056765576,4.0,9.0,0.235,0.059227671167969675,0.8988000420238954,0.2,0.1,1.0,0.21,0.1,0.3,0.006,0.04,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.16,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,5.089204259999788,4.0,9.0,0.233,0.059227671167969675,0.8988000420238954,0.21,0.1,1.0,0.4,0.3,0.5,0.024,0.037,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.17,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,5.127377497317708,4.0,9.0,0.232,0.059227671167969675,0.8988000420238954,0.24,0.1,1.0,0.61,0.5,0.75,0.08,0.043,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.18,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,5.173973328110612,4.0,9.0,0.232,0.059227671167969675,0.8988000420238954,0.29,0.1,1.0,0.86,0.75,1.0,0.033,0.066,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.1<z.dpt.19,1 - 1 - 13111,1 - 1 - 2111,301.03984399999996,5.263078946776307,4.0,9.0,0.246,0.059227671167969675,0.8988000420238954,0.37,0.1,1.0,1.31,1.0,10.0,0.101,0.077,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
