Name,compass16.ALT.h-.2<z.dx
Comment,COMPASS16 DSSA-A.LT  h- from p, (0.2<z<1) (differential in x)
Reference,1609.07374
Process type,SIDIS
Number of points,26
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass16.ALT.h-.2<z.dx.0,1 / 1 / -1 / 13101,1 / 1 / -1 / 2101,301.03984399999996,1.1269427669584644,1.0,2.0,0.006,0.003,0.008,0.37,0.2,1.0,0.52,0.1,10.0,-0.001,0.014,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.2<z.dx.1,1 / 1 / -1 / 13101,1 / 1 / -1 / 2101,301.03984399999996,1.2569805089976536,1.0,2.0,0.011,0.008,0.014,0.36,0.2,1.0,0.52,0.1,10.0,0.006,0.013,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.2<z.dx.2,1 / 1 / -1 / 13101,1 / 1 / -1 / 2101,301.03984399999996,1.3490737563232043,1.0,2.0,0.018,0.014,0.022,0.36,0.2,1.0,0.51,0.1,10.0,0.001,0.017,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.2<z.dx.3,1 / 1 / -1 / 13101,1 / 1 / -1 / 2101,301.03984399999996,1.378404875209022,1.0,2.0,0.028,0.022,0.035,0.37,0.2,1.0,0.49,0.1,10.0,-0.011,0.024,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.2<z.dx.4,1 / 1 / -1 / 13101,1 / 1 / -1 / 2101,301.03984399999996,1.4866068747318506,1.0,2.0,0.043,0.035,0.055,0.37,0.2,1.0,0.47,0.1,10.0,0.08,0.04,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.2<z.dx.5,1 / 1 / -1 / 13101,1 / 1 / -1 / 2101,301.03984399999996,1.697056274847714,1.0,2.0,0.07,0.055,0.105,0.37,0.2,1.0,0.46,0.1,10.0,0.069,0.072,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.2<z.dx.6,1 / 1 / -1 / 13101,1 / 1 / -1 / 2101,301.03984399999996,1.9026297590440449,1.0,2.0,0.11,0.105,0.145,0.37,0.2,1.0,0.44,0.1,10.0,-0.039,0.304,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.2<z.dx.7,1 / 1 / -1 / 13101,1 / 1 / -1 / 2101,301.03984399999996,2.1213203435596424,2.0,2.5,0.02,0.014,0.022,0.35,0.2,1.0,0.56,0.1,10.0,-0.038,0.05,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.2<z.dx.8,1 / 1 / -1 / 13101,1 / 1 / -1 / 2101,301.03984399999996,2.2045407685048604,2.0,2.5,0.029,0.022,0.035,0.35,0.2,1.0,0.56,0.1,10.0,-0.037,0.032,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.2<z.dx.9,1 / 1 / -1 / 13101,1 / 1 / -1 / 2101,301.03984399999996,2.2203603311174516,2.0,2.5,0.045,0.035,0.055,0.35,0.2,1.0,0.53,0.1,10.0,0.033,0.042,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.2<z.dx.10,1 / 1 / -1 / 13101,1 / 1 / -1 / 2101,301.03984399999996,2.2293496809607953,2.0,2.5,0.075,0.055,0.105,0.35,0.2,1.0,0.5,0.1,10.0,0.003,0.059,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.2<z.dx.11,1 / 1 / -1 / 13101,1 / 1 / -1 / 2101,301.03984399999996,2.240535650240808,2.0,2.5,0.12,0.105,0.145,0.36,0.2,1.0,0.46,0.1,10.0,0.026,0.128,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h-.2<z.dx.12,1 / 1 / -1 / 13101,1 / 1 / -1 / 2101,301.03984399999996,2.349468024894146,2.0,2.5,0.163,0.145,0.215,0.36,0.2,1.0,0.44,0.1,10.0,0.076,0.275,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
