Name,compass.wgt.h-.dz,,,,,,,,,,,,,,,,,,,,,,,,
Comment,COMPASS DSA with worm-gear T (differential in z). ,,,,,,,,,,,,,,,,,,,,,,,,
Reference,Physics Letters B 770 (2017) 138–145,,,,,,,,,,,,,,,,,,,,,,,,
Process type,SIDIS,,,,,,,,,,,,,,,,,,,,,,,,
Number of points,20,,,,,,,,,,,,,,,,,,,,,,,,
Number of uncorr.errors,1,,,,,,,,,,,,,,,,,,,,,,,,
Number of corr.errors,0,,,,,,,,,,,,,,,,,,,,,,,,
Number of norm.errors,1,,,,,,,,,,,,,,,,,,,,,,,,
List of norm.errors (relative),0.03,,,,,,,,,,,,,,,,,,,,,,,,
Total cross-section normalized,False,,,,,,,,,,,,,,,,,,,,,,,,
List of points,,,,,,,,,,,,,,,,,,,,,,,,,
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV] 
compass.wgt.hm.dz_z20, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.39283882771841,1,2,0.026,0.003701729447998,0.133262260127932,0.14,0.1,0.2,0.4,0.1,7,-0.002,0.007,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dz_z21, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.39283882771841,1,2,0.028,0.003701729447998,0.133262260127932,0.24,0.2,0.3,0.46,0.1,7,0.005,0.011,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dz_z22, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.38924439894498,1,2,0.028,0.003701729447998,0.133262260127932,0.34,0.3,0.4,0.51,0.1,7,0.021,0.016,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dz_z23, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.38202749610853,1,2,0.028,0.003701729447998,0.133262260127932,0.48,0.4,0.6,0.54,0.1,7,-0.017,0.017,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dz_z24, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.35646599662505,1,2,0.028,0.003701729447998,0.133262260127932,0.74,0.6,1,0.51,0.1,7,0.003,0.024,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dz_z25, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.22710574513201,2,2.5,0.065,0.014806917791993,0.208222281449893,0.14,0.1,0.2,0.4,0.1,7,0.003,0.019,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dz_z26, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.22710574513201,2,2.5,0.07,0.014806917791993,0.208222281449893,0.24,0.2,0.3,0.47,0.1,7,-0.003,0.029,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dz_z27, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.22710574513201,2,2.5,0.072,0.014806917791993,0.208222281449893,0.34,0.3,0.4,0.52,0.1,7,-0.031,0.042,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dz_z28, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.22710574513201,2,2.5,0.073,0.014806917791993,0.208222281449893,0.48,0.4,0.6,0.58,0.1,7,-0.007,0.048,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dz_z29, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.22036033111745,2,2.5,0.073,0.014806917791993,0.208222281449893,0.73,0.6,1,0.59,0.1,7,-0.05,0.077,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dz_z210, 1 - 1 – 13111, 1 - 1- 2111,301.039844,3.05941170815567,2.5,4,0.115,0.023135809049988,0.533049040511727,0.14,0.1,0.2,0.4,0.1,7,0.006,0.018,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dz_z211, 1 - 1 – 13111, 1 - 1- 2111,301.039844,3.05614135798722,2.5,4,0.123,0.023135809049988,0.533049040511727,0.24,0.2,0.3,0.47,0.1,7,0.032,0.029,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dz_z212, 1 - 1 – 13111, 1 - 1- 2111,301.039844,3.05286750449475,2.5,4,0.126,0.023135809049988,0.533049040511727,0.34,0.3,0.4,0.53,0.1,7,0.061,0.042,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dz_z213, 1 - 1 – 13111, 1 - 1- 2111,301.039844,3.04959013639538,2.5,4,0.128,0.023135809049988,0.533049040511727,0.48,0.4,0.6,0.59,0.1,7,-0.064,0.048,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dz_z214, 1 - 1 – 13111, 1 - 1- 2111,301.039844,3.0364452901378,2.5,4,0.13,0.023135809049988,0.533049040511727,0.72,0.6,1,0.65,0.1,7,-0.031,0.082,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dz_z215, 1 - 1 – 13111, 1 - 1- 2111,301.039844,5.1234753829798,4,9,0.226,0.05922767116797,0.898800042023895,0.14,0.1,0.2,0.42,0.1,7,0.053,0.028,1,True,0.1,0.9,10,10000,0.938,0.139
