Name,compass.wgt.h-.dx.0.1<z<0.2,,,,,,,,,,,,,,,,,,,,,,,,
Comment,COMPASS DSA with worm-gear T (differential in x). ,,,,,,,,,,,,,,,,,,,,,,,,
Reference,Physics Letters B 770 (2017) 138–145,,,,,,,,,,,,,,,,,,,,,,,,
Process type,SIDIS,,,,,,,,,,,,,,,,,,,,,,,,
Number of points,26,,,,,,,,,,,,,,,,,,,,,,,,
Number of uncorr.errors,1,,,,,,,,,,,,,,,,,,,,,,,,
Number of corr.errors,0,,,,,,,,,,,,,,,,,,,,,,,,
Number of norm.errors,1,,,,,,,,,,,,,,,,,,,,,,,,
List of norm.errors (relative),0.03,,,,,,,,,,,,,,,,,,,,,,,,
Total cross-section normalized,False,,,,,,,,,,,,,,,,,,,,,,,,
List of points,,,,,,,,,,,,,,,,,,,,,,,,,
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV] 
compass.wgt.hm.dx_z10, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.12694276695846,1,2,0.006,0.003,0.008,0.14,0.1,0.2,0.46,0.1,7,-0.017,0.013,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z11, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.26491106406735,1,2,0.011,0.008,0.014,0.14,0.1,0.2,0.44,0.1,7,0.006,0.012,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z12, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.37113092008021,1,2,0.018,0.014,0.022,0.14,0.1,0.2,0.42,0.1,7,0.02,0.015,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z13, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.4142135623731,1,2,0.028,0.022,0.035,0.14,0.1,0.2,0.38,0.1,7,-0.022,0.023,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z14, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.52315462117278,1,2,0.043,0.035,0.055,0.14,0.1,0.2,0.36,0.1,7,-0.003,0.04,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z15, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.71464281994822,1,2,0.07,0.055,0.105,0.15,0.1,0.2,0.33,0.1,7,-0.08,0.076,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z16, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.90525588832577,1,2,0.11,0.105,0.145,0.15,0.1,0.2,0.31,0.1,7,-0.518,0.358,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z17, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.12132034355964,2,2.5,0.02,0.014,0.022,0.14,0.1,0.2,0.47,0.1,7,-0.029,0.044,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z18, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.20454076850486,2,2.5,0.029,0.022,0.035,0.14,0.1,0.2,0.45,0.1,7,-0.006,0.028,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z19, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.2248595461287,2,2.5,0.044,0.035,0.055,0.14,0.1,0.2,0.42,0.1,7,0.026,0.038,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z110, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.23383079036887,2,2.5,0.075,0.055,0.105,0.14,0.1,0.2,0.38,0.1,7,-0.002,0.055,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z111, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.25166604983954,2,2.5,0.119,0.105,0.145,0.15,0.1,0.2,0.34,0.1,7,0.228,0.134,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z112, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.35372045918796,2,2.5,0.163,0.145,0.215,0.15,0.1,0.2,0.31,0.1,7,-0.393,0.317,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z113, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.66458251889485,2.5,4,0.031,0.022,0.035,0.14,0.1,0.2,0.47,0.1,7,-0.016,0.053,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z114, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.86530975637888,2.5,4,0.046,0.035,0.055,0.14,0.1,0.2,0.45,0.1,7,0.002,0.032,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z115, 1 - 1 – 13111, 1 - 1- 2111,301.039844,3.03150127824482,2.5,4,0.076,0.055,0.105,0.14,0.1,0.2,0.43,0.1,7,0.006,0.03,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z116, 1 - 1 – 13111, 1 - 1- 2111,301.039844,3.0854497241083,2.5,4,0.121,0.105,0.145,0.14,0.1,0.2,0.39,0.1,7,0.056,0.056,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z117, 1 - 1 – 13111, 1 - 1- 2111,301.039844,3.13687742827162,2.5,4,0.175,0.145,0.215,0.14,0.1,0.2,0.36,0.1,7,-0.007,0.084,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z118, 1 - 1 – 13111, 1 - 1- 2111,301.039844,3.31058907144937,2.5,4,0.248,0.215,0.3,0.15,0.1,0.2,0.34,0.1,7,-0.023,0.163,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z119, 1 - 1 – 13111, 1 - 1- 2111,301.039844,3.60416425818802,2.5,4,0.349,0.3,0.55,0.15,0.1,0.2,0.33,0.1,7,-0.17,0.341,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z120, 1 - 1 – 13111, 1 - 1- 2111,301.039844,4.34511219648009,4,9,0.084,0.055,0.105,0.14,0.1,0.2,0.46,0.1,7,0.045,0.064,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z121, 1 - 1 – 13111, 1 - 1- 2111,301.039844,4.67974358271904,4,9,0.123,0.105,0.145,0.14,0.1,0.2,0.45,0.1,7,0.01,0.054,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z122, 1 - 1 – 13111, 1 - 1- 2111,301.039844,5.0029991005396,4,9,0.178,0.145,0.215,0.14,0.1,0.2,0.43,0.1,7,0.092,0.054,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z123, 1 - 1 – 13111, 1 - 1- 2111,301.039844,5.339475629685,4,9,0.254,0.215,0.3,0.14,0.1,0.2,0.41,0.1,7,0.062,0.068,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z124, 1 - 1 – 13111, 1 - 1- 2111,301.039844,5.66038867923396,4,9,0.385,0.3,0.55,0.14,0.1,0.2,0.39,0.1,7,0.025,0.082,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dx_z125, 1 - 1 – 13111, 1 - 1- 2111,301.039844,6.24179461373089,4,9,0.637,0.55,0.8,0.14,0.1,0.2,0.42,0.1,7,0.117,0.27,1,True,0.1,0.9,10,10000,0.938,0.139
