Name,compass.wgt.h-.dpt.z>0.2,,,,,,,,,,,,,,,,,,,,,,,,
Comment,COMPASS DSA with worm-gear T (differential in x). The data MUST be evaluated at a point,,,,,,,,,,,,,,,,,,,,,,,,
Reference,Physics Letters B 770 (2017) 138–145,,,,,,,,,,,,,,,,,,,,,,,,
Process type,SIDIS,,,,,,,,,,,,,,,,,,,,,,,,
Number of points,20,,,,,,,,,,,,,,,,,,,,,,,,
Number of uncorr.errors,1,,,,,,,,,,,,,,,,,,,,,,,,
Number of corr.errors,0,,,,,,,,,,,,,,,,,,,,,,,,
Number of norm.errors,1,,,,,,,,,,,,,,,,,,,,,,,,
List of norm.errors (relative),0.03,,,,,,,,,,,,,,,,,,,,,,,,
Total cross-section normalized,False,,,,,,,,,,,,,,,,,,,,,,,,
List of points,,,,,,,,,,,,,,,,,,,,,,,,,
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV] 
compass.wgt.hm.dpT_z30, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.38202749610853,1,2,0.029,0.003701729447998,0.133262260127932,0.37,0.2,1,0.21,0.1,0.3,0.022,0.015,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z31, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.38202749610853,1,2,0.028,0.003701729447998,0.133262260127932,0.36,0.2,1,0.4,0.3,0.5,-0.014,0.014,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z32, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.38924439894498,1,2,0.028,0.003701729447998,0.133262260127932,0.36,0.2,1,0.61,0.5,0.75,0.004,0.015,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z33, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.39283882771841,1,2,0.026,0.003701729447998,0.133262260127932,0.38,0.2,1,0.85,0.75,1,0.017,0.023,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z34, 1 - 1 – 13111, 1 - 1- 2111,301.039844,1.4,1,2,0.023,0.003701729447998,0.133262260127932,0.41,0.2,1,1.26,1,10,0.007,0.027,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z35, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.22710574513201,2,2.5,0.075,0.014806917791993,0.208222281449893,0.33,0.2,1,0.21,0.1,0.3,-0.021,0.043,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z36, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.22710574513201,2,2.5,0.074,0.014806917791993,0.208222281449893,0.34,0.2,1,0.4,0.3,0.5,-0.021,0.038,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z37, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.22710574513201,2,2.5,0.07,0.014806917791993,0.208222281449893,0.35,0.2,1,0.61,0.5,0.75,-0.016,0.041,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z38, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.22710574513201,2,2.5,0.065,0.014806917791993,0.208222281449893,0.38,0.2,1,0.85,0.75,1,-0.024,0.059,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z39, 1 - 1 – 13111, 1 - 1- 2111,301.039844,2.2293496809608,2,2.5,0.056,0.014806917791993,0.208222281449893,0.41,0.2,1,1.27,1,10,0.055,0.07,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z310, 1 - 1 – 13111, 1 - 1- 2111,301.039844,3.04466746952767,2.5,4,0.132,0.023135809049988,0.533049040511727,0.32,0.2,1,0.21,0.1,0.3,-0.023,0.043,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z311, 1 - 1 – 13111, 1 - 1- 2111,301.039844,3.04795013082563,2.5,4,0.13,0.023135809049988,0.533049040511727,0.33,0.2,1,0.4,0.3,0.5,0.056,0.038,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z312, 1 - 1 – 13111, 1 - 1- 2111,301.039844,3.05614135798722,2.5,4,0.124,0.023135809049988,0.533049040511727,0.35,0.2,1,0.61,0.5,0.75,0.05,0.04,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z313, 1 - 1 – 13111, 1 - 1- 2111,301.039844,3.06431068920891,2.5,4,0.115,0.023135809049988,0.533049040511727,0.38,0.2,1,0.86,0.75,1,0.001,0.058,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z314, 1 - 1 – 13111, 1 - 1- 2111,301.039844,3.07733651068582,2.5,4,0.1,0.023135809049988,0.533049040511727,0.42,0.2,1,1.28,1,10,-0.08,0.066,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z315, 1 - 1 – 13111, 1 - 1- 2111,301.039844,5.02294734194974,4,9,0.238,0.05922767116797,0.898800042023895,0.31,0.2,1,0.21,0.1,0.3,-0.023,0.07,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z316, 1 - 1 – 13111, 1 - 1- 2111,301.039844,5.0438080851674,4,9,0.24,0.05922767116797,0.898800042023895,0.32,0.2,1,0.4,0.3,0.5,0.021,0.06,1,True,0.1,0.9,10,10000,0.938,0.139
compass.wgt.hm.dpT_z317, 1 - 1 – 13111, 1 - 1- 2111,301.039844,5.09705797494986,4,9,0.242,0.05922767116797,0.898800042023895,0.34,0.2,1,0.61,0.5,0.75,0.058,0.061,1,True,0.1,0.9,10,10000,0.938,0.139
