Name,HERMES.wgt.kaon-.3D,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,HERMES DSA with worm-gear T (3D).,,,,,,,,,,,,,,,,,,,,,,,,,
Reference,2007.07755,,,,,,,,,,,,,,,,,,,,,,,,,
Process type,SIDIS,,,,,,,,,,,,,,,,,,,,,,,,,
Number of points,64,,,,,,,,,,,,,,,,,,,,,,,,,
Number of uncorr.errors,2,,,,,,,,,,,,,,,,,,,,,,,,,
Number of corr.errors,0,,,,,,,,,,,,,,,,,,,,,,,,,
Number of norm.errors,1,,,,,,,,,,,,,,,,,,,,,,,,,
List of norm.errors (relative),0.08,,,,,,,,,,,,,,,,,,,,,,,,,
Total cross-section normalized,False,,,,,,,,,,,,,,,,,,,,,,,,,
List of points,,,,,,,,,,,,,,,,,,,,,,,,,,
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV] 
hermes.wgt.kaon-.dz.0, 1 - 1 – 13022, 1 - 1- 2022,52.657444,1.21573023323433,1,1.88191068863536,0.051,0.023,0.072,0.236,0.2,0.28,0.152,0,0.23,-0.142896000568093,0.294943495739241,0.007516396766349,1, True,0.1,0.95,10,10000,0.938,0.494
hermes.wgt.kaon-.dz.1, 1 - 1 – 13022, 1 - 1- 2022,52.657444,1.2300406497348,1,1.88191068863536,0.047,0.023,0.072,0.236,0.2,0.28,0.298,0.23,0.36,-0.068038470789127,0.189745714191483,0.00514316745992,1, True,0.1,0.95,10,10000,0.938,0.494
hermes.wgt.kaon-.dz.2, 1 - 1 – 13022, 1 - 1- 2022,52.657444,1.24096736459909,1,1.88191068863536,0.045,0.023,0.072,0.237,0.2,0.28,0.444,0.36,0.54,-0.046794038409242,0.127939813304998,0.000229374334039,1, True,0.1,0.95,10,10000,0.938,0.494
hermes.wgt.kaon-.dz.3, 1 - 1 – 13022, 1 - 1- 2022,52.657444,1.26885775404495,1,1.88191068863536,0.043,0.023,0.072,0.242,0.2,0.28,0.666,0.54,2,-0.205179334866259,0.164233805226773,0.012606406321028,1, True,0.1,0.95,10,10000,0.938,0.494
hermes.wgt.kaon-.dz.4, 1 - 1 – 13022, 1 - 1- 2022,52.657444,1.20291313069565,1,1.88191068863536,0.053,0.023,0.072,0.319,0.28,0.37,0.151,0,0.23,0.275247161343771,0.302043497590348,0.0106213631962,1, True,0.1,0.95,10,10000,0.938,0.494
hermes.wgt.kaon-.dz.5, 1 - 1 – 13022, 1 - 1- 2022,52.657444,1.22515305166334,1,1.88191068863536,0.049,0.023,0.072,0.32,0.28,0.37,0.296,0.23,0.36,0.292766933310778,0.477816232419954,0.017103839212221,1, True,0.1,0.95,10,10000,0.938,0.494
hermes.wgt.kaon-.dz.6, 1 - 1 – 13022, 1 - 1- 2022,52.657444,1.2300406497348,1,1.88191068863536,0.047,0.023,0.072,0.319,0.28,0.37,0.449,0.36,0.54,0.264382852703932,0.167789579627916,0.006236254434803,1, True,0.1,0.95,10,10000,0.938,0.494
hermes.wgt.kaon-.dz.7, 1 - 1 – 13022, 1 - 1- 2022,52.657444,1.24939985593084,1,1.88191068863536,0.044,0.023,0.072,0.324,0.28,0.37,0.724,0.54,2,-0.004021305591447,0.145289481225873,0.014312370388211,1, True,0.1,0.95,10,10000,0.938,0.494
hermes.wgt.kaon-.dz.8, 1 - 1 – 13022, 1 - 1- 2022,52.657444,1.18448300958688,1,1.88191068863536,0.054,0.023,0.072,0.424,0.37,0.49,0.146,0,0.23,-0.267915539666328,0.340299180798772,0.001888046133945,1, True,0.1,0.95,10,10000,0.938,0.494
hermes.wgt.kaon-.dz.9, 1 - 1 – 13022, 1 - 1- 2022,52.657444,1.21573023323433,1,1.88191068863536,0.051,0.023,0.072,0.422,0.37,0.49,0.298,0.23,0.36,-0.442181966880807,0.650029748735539,0.001574906391882,1, True,0.1,0.95,10,10000,0.938,0.494
hermes.wgt.kaon-.dz.10, 1 - 1 – 13022, 1 - 1- 2022,52.657444,1.23531372533458,1,1.88191068863536,0.049,0.023,0.072,0.423,0.37,0.49,0.448,0.36,0.54,-0.284759350957748,0.352270806448465,0.019709904672717,1, True,0.1,0.95,10,10000,0.938,0.494
hermes.wgt.kaon-.dz.11, 1 - 1 – 13022, 1 - 1- 2022,52.657444,1.24096736459909,1,1.88191068863536,0.045,0.023,0.072,0.425,0.37,0.49,0.77,0.54,2,-0.206358332240971,0.151562144917886,0.002119952724747,1, True,0.1,0.95,10,10000,0.938,0.494
hermes.wgt.kaon-.dz.12, 1 - 1 – 13022, 1 - 1- 2022,52.657444,1.18911731969558,1,1.88191068863536,0.055,0.023,0.072,0.562,0.49,0.7,0.151,0,0.23,0.329120223173014,0.390700271044287,0.004915730472697,1, True,0.1,0.95,10,10000,0.938,0.494
hermes.wgt.kaon-.dz.13, 1 - 1 – 13022, 1 - 1- 2022,52.657444,1.20124934963562,1,1.88191068863536,0.052,0.023,0.072,0.566,0.49,0.7,0.298,0.23,0.36,-0.105586672990936,0.542406699592428,0.013567668511856,1, True,0.1,0.95,10,10000,0.938,0.494
hermes.wgt.kaon-.dz.14, 1 - 1 – 13022, 1 - 1- 2022,52.657444,1.22065556157337,1,1.88191068863536,0.05,0.023,0.072,0.572,0.49,0.7,0.446,0.36,0.54,0.527069213040146,0.665340668082204,0.009300297736942,1, True,0.1,0.95,10,10000,0.938,0.494
