Name,HERMES.wgt.pi-.3D,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,HERMES DSA with worm-gear T (3D).,,,,,,,,,,,,,,,,,,,,,,,,,
Reference,2007.07755,,,,,,,,,,,,,,,,,,,,,,,,,
Process type,SIDIS,,,,,,,,,,,,,,,,,,,,,,,,,
Number of points,64,,,,,,,,,,,,,,,,,,,,,,,,,
Number of uncorr.errors,2,,,,,,,,,,,,,,,,,,,,,,,,,
Number of corr.errors,0,,,,,,,,,,,,,,,,,,,,,,,,,
Number of norm.errors,1,,,,,,,,,,,,,,,,,,,,,,,,,
List of norm.errors (relative),0.08,,,,,,,,,,,,,,,,,,,,,,,,,
Total cross-section normalized,False,,,,,,,,,,,,,,,,,,,,,,,,,
List of points,,,,,,,,,,,,,,,,,,,,,,,,,,
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV] 
hermes.wgt.pi-.dz.0, 1 - 1 – 13021, 1 - 1- 2021,52.657444,1.20747670784989,1,1.88191068863536,0.052,0.023,0.072,0.236,0.2,0.28,0.152,0,0.23,-0.010219881289448,0.087218774366298,0.008566872612767,1, True,0.1,0.95,10,10000,0.938,0.139
hermes.wgt.pi-.dz.1, 1 - 1 – 13021, 1 - 1- 2021,52.657444,1.22882057274445,1,1.88191068863536,0.047,0.023,0.072,0.234,0.2,0.28,0.298,0.23,0.36,-0.038947926985544,0.052548414147366,0.00622348305877,1, True,0.1,0.95,10,10000,0.938,0.139
hermes.wgt.pi-.dz.2, 1 - 1 – 13021, 1 - 1- 2021,52.657444,1.2381437719425,1,1.88191068863536,0.045,0.023,0.072,0.236,0.2,0.28,0.443,0.36,0.54,0.067011689072113,0.037914791490943,0.002105963397152,1, True,0.1,0.95,10,10000,0.938,0.139
hermes.wgt.pi-.dz.3, 1 - 1 – 13021, 1 - 1- 2021,52.657444,1.25737822471999,1,1.88191068863536,0.043,0.023,0.072,0.241,0.2,0.28,0.658,0.54,2,0.041396703358919,0.054831346412325,0.00348584461941,1, True,0.1,0.95,10,10000,0.938,0.139
hermes.wgt.pi-.dz.4, 1 - 1 – 13021, 1 - 1- 2021,52.657444,1.19582607431014,1,1.88191068863536,0.054,0.023,0.072,0.32,0.28,0.37,0.15,0,0.23,0.140188436177887,0.096673692851796,0.006298500917647,1, True,0.1,0.95,10,10000,0.938,0.139
hermes.wgt.pi-.dz.5, 1 - 1 – 13021, 1 - 1- 2021,52.657444,1.21531888819355,1,1.88191068863536,0.049,0.023,0.072,0.32,0.28,0.37,0.296,0.23,0.36,-0.213254827415486,0.173782207898825,0.021493521501553,1, True,0.1,0.95,10,10000,0.938,0.139
hermes.wgt.pi-.dz.6, 1 - 1 – 13021, 1 - 1- 2021,52.657444,1.22678441463853,1,1.88191068863536,0.047,0.023,0.072,0.319,0.28,0.37,0.449,0.36,0.54,-0.009914327460849,0.052571941905166,0.005904880259511,1, True,0.1,0.95,10,10000,0.938,0.139
hermes.wgt.pi-.dz.7, 1 - 1 – 13021, 1 - 1- 2021,52.657444,1.24539150470846,1,1.88191068863536,0.045,0.023,0.072,0.323,0.28,0.37,0.703,0.54,2,0.030872207359237,0.047629934288627,0.002499729442717,1, True,0.1,0.95,10,10000,0.938,0.139
hermes.wgt.pi-.dz.8, 1 - 1 – 13021, 1 - 1- 2021,52.657444,1.1823705003086,1,1.88191068863536,0.055,0.023,0.072,0.422,0.37,0.49,0.152,0,0.23,-0.007317725942263,0.113107209528287,0.000901656289849,1, True,0.1,0.95,10,10000,0.938,0.139
hermes.wgt.pi-.dz.9, 1 - 1 – 13021, 1 - 1- 2021,52.657444,1.20249740124459,1,1.88191068863536,0.051,0.023,0.072,0.423,0.37,0.49,0.298,0.23,0.36,0.071728334423632,0.194122498261175,0.015640339858067,1, True,0.1,0.95,10,10000,0.938,0.139
