Name,A8_A2_1y2
Comment,ATLAS 8TeV angular coefficent A2
Reference,arXiv:1606.00689
Process type,DY
Number of points,23
Number of uncorr.errors,3
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Uncorr.Err.2,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
A8_A2_1y2.0,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,1.25,0.0,2.5,0.039398,0.0147557,0.00807233,0.00708333,1.0,False,20.0,20.0,2.0,4.5
A8_A2_1y2.1,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,3.75,2.5,5.0,0.0103091,0.00608668,0.00391273,0.00371293,1.0,False,20.0,20.0,2.0,4.5
A8_A2_1y2.2,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,6.5,5.0,8.0,0.00301316,0.00425977,0.00155211,0.00230636,1.0,False,20.0,20.0,2.0,4.5
A8_A2_1y2.3,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,9.7,8.0,11.4,0.00922415,0.00398164,0.00147389,0.00192019,1.0,False,20.0,20.0,2.0,4.5
A8_A2_1y2.4,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,13.15,11.4,14.9,0.0251818,0.00374636,0.00263607,0.00197624,1.0,False,20.0,20.0,2.0,4.5
A8_A2_1y2.5,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,16.7,14.9,18.5,0.0465995,0.00403956,0.00260617,0.00216171,1.0,False,20.0,20.0,2.0,4.5
A8_A2_1y2.6,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,20.25,18.5,22.0,0.0704931,0.00465987,0.00281497,0.00234395,1.0,False,20.0,20.0,2.0,4.5
A8_A2_1y2.7,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,23.75,22.0,25.5,0.0970847,0.00510954,0.00296652,0.00250001,1.0,False,20.0,20.0,2.0,4.5
A8_A2_1y2.8,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,27.25,25.5,29.0,0.122989,0.0054602,0.00308913,0.00266073,1.0,False,20.0,20.0,2.0,4.5
A8_A2_1y2.9,1 - 1 - 1 - 22,64000000.0,91.1876,80.0,100.0,1.5,1.0,2.0,30.8,29.0,32.6,0.151208,0.0058907,0.00336267,0.00286967,1.0,False,20.0,20.0,2.0,4.5
