Name,CMS13-16y24
Comment,CMS 13TeV 1.6<|y|<2.4 absolute
Reference,arXiv:1909.04133
Process type,DY
Number of points,33
Number of uncorr.errors,1
Number of corr.errors,1
Number of norm.errors,1
List of norm.errors (relative),0.025
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Corr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
CMS13-16y24.0,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,1.5,1.0,2.0,3.9945,0.16440757492813401,3.9945e-06,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.1,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,2.5,2.0,3.0,5.1864,0.19577721215708432,5.1864e-06,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.2,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,3.5,3.0,4.0,5.9383,0.21121581284020854,5.9382999999999995e-06,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.3,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,4.5,4.0,5.0,6.1235,0.20525822990503936,6.1235e-06,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.4,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,5.5,5.0,6.0,5.9163,0.18893007977489978,5.9163e-06,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.5,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,6.5,6.0,7.0,5.5466,0.16851216773574543,5.5465999999999995e-06,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.6,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,7.5,7.0,8.0,5.1815,0.14741157923904757,5.1814999999999994e-06,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.7,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,8.5,8.0,9.0,4.8699,0.13016712005629533,4.8699e-06,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.8,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,9.5,9.0,10.0,4.5669,0.11619401982782933,4.5669e-06,2.0,True,25.0,25.0,-2.4,2.4
CMS13-16y24.9,1 - 1 - 5,169000000.0,91.1876,76.1876,106.1876,2.0,1.6,2.4,10.5,10.0,11.0,4.2415,0.10507410239326338,4.2415e-06,2.0,True,25.0,25.0,-2.4,2.4
